plotid,chamber,treatment,origin,grazed_ungrazed,transect,transect_s_treatment,logger,link
105,105,w2,,g,B1,B1_w2_g,nordsalt b1 usb,105
106,106,w2,,ug,B1,B1_w2_ug,nordsalt b1 usb,106
107,107,w3,,g,B1,B1_w3_g,nordsalt b1 usb,107
108,108,w3,,ug,B1,B1_w3_ug,nordsalt b1 usb,108
109,109,w4,,g,B1,B1_w4_g,nordsalt b1 usb,109
110,110,w4,,ug,B1,B1_w4_ug,nordsalt b1 usb,110
1,103,w1,d,g,B1,B1_w1_d_g,nordsalt b1 usb,B1
2,103,w1,f,g,B1,B1_w1_f_g,nordsalt b1 usb,B1
3,103,w1,s,g,B1,B1_w1_s_g,nordsalt b1 usb,B1
4,105,w2,d,g,B1,B1_w2_d_g,nordsalt b1 usb,B1
5,105,w2,s,g,B1,B1_w2_s_g,nordsalt b1 usb,B1
6,105,w2,f,g,B1,B1_w2_f_g,nordsalt b1 usb,B1
7,101,w0,d,g,B1,B1_w0_d_g,nordsalt b1 usb,B1
8,101,w0,f,g,B1,B1_w0_f_g,nordsalt b1 usb,B1
9,101,w0,s,g,B1,B1_w0_s_g,nordsalt b1 usb,B1
10,107,w3,f,g,B1,B1_w3_f_g,nordsalt b1 usb,B1
11,107,w3,s,g,B1,B1_w3_s_g,nordsalt b1 usb,B1
12,107,w3,d,g,B1,B1_w3_d_g,nordsalt b1 usb,B1
13,109,w4,s,g,B1,B1_w4_s_g,nordsalt b1 usb,B1
14,109,w4,d,g,B1,B1_w4_d_g,nordsalt b1 usb,B1
15,109,w4,f,g,B1,B1_w4_f_g,nordsalt b1 usb,B1
16,104,w1,s,ug,B1,B1_w1_s_ug,nordsalt b1 usb,B1
17,104,w1,f,ug,B1,B1_w1_f_ug,nordsalt b1 usb,B1
18,104,w1,d,ug,B1,B1_w1_d_ug,nordsalt b1 usb,B1
19,106,w2,s,ug,B1,B1_w2_s_ug,nordsalt b1 usb,B1
20,106,w2,d,ug,B1,B1_w2_d_ug,nordsalt b1 usb,B1
21,106,w2,f,ug,B1,B1_w2_f_ug,nordsalt b1 usb,B1
22,102,w0,f,ug,B1,B1_w0_f_ug,nordsalt b1 usb,B1
23,102,w0,s,ug,B1,B1_w0_s_ug,nordsalt b1 usb,B1
24,102,w0,d,ug,B1,B1_w0_d_ug,nordsalt b1 usb,B1
25,108,w3,s,ug,B1,B1_w3_s_ug,nordsalt b1 usb,B1
26,108,w3,d,ug,B1,B1_w3_d_ug,nordsalt b1 usb,B1
27,108,w3,f,ug,B1,B1_w3_f_ug,nordsalt b1 usb,B1
28,110,w4,d,ug,B1,B1_w4_d_ug,nordsalt b1 usb,B1
29,110,w4,f,ug,B1,B1_w4_f_ug,nordsalt b1 usb,B1
30,110,w4,s,ug,B1,B1_w4_s_ug,nordsalt b1 usb,B1
101,101,w0,,g,B1,B1_w0_g,nordsalt b1 usb,B1
102,102,w0,,ug,B1,B1_w0_ug,nordsalt b1 usb,B1
103,103,w1,,g,B1,B1_w1_g,nordsalt b1 usb,B1
104,104,w1,,ug,B1,B1_w1_ug,nordsalt b1 usb,B1
105,105,w2,,g,B1,B1_w2_g,nordsalt b1 usb,B1
106,106,w2,,ug,B1,B1_w2_ug,nordsalt b1 usb,B1
107,107,w3,,g,B1,B1_w3_g,nordsalt b1 usb,B1
108,108,w3,,ug,B1,B1_w3_ug,nordsalt b1 usb,B1
109,109,w4,,g,B1,B1_w4_g,nordsalt b1 usb,B1
110,110,w4,,ug,B1,B1_w4_ug,nordsalt b1 usb,B1
1,103,w1,d,g,B1,B1_w1_d_g,nordsalt b1 usb,103
2,103,w1,f,g,B1,B1_w1_f_g,nordsalt b1 usb,103
3,103,w1,s,g,B1,B1_w1_s_g,nordsalt b1 usb,103
4,105,w2,d,g,B1,B1_w2_d_g,nordsalt b1 usb,105
5,105,w2,s,g,B1,B1_w2_s_g,nordsalt b1 usb,105
6,105,w2,f,g,B1,B1_w2_f_g,nordsalt b1 usb,105
7,101,w0,d,g,B1,B1_w0_d_g,nordsalt b1 usb,101
8,101,w0,f,g,B1,B1_w0_f_g,nordsalt b1 usb,101
9,101,w0,s,g,B1,B1_w0_s_g,nordsalt b1 usb,101
10,107,w3,f,g,B1,B1_w3_f_g,nordsalt b1 usb,107
11,107,w3,s,g,B1,B1_w3_s_g,nordsalt b1 usb,107
12,107,w3,d,g,B1,B1_w3_d_g,nordsalt b1 usb,107
13,109,w4,s,g,B1,B1_w4_s_g,nordsalt b1 usb,109
14,109,w4,d,g,B1,B1_w4_d_g,nordsalt b1 usb,109
15,109,w4,f,g,B1,B1_w4_f_g,nordsalt b1 usb,109
16,104,w1,s,ug,B1,B1_w1_s_ug,nordsalt b1 usb,104
17,104,w1,f,ug,B1,B1_w1_f_ug,nordsalt b1 usb,104
18,104,w1,d,ug,B1,B1_w1_d_ug,nordsalt b1 usb,104
19,106,w2,s,ug,B1,B1_w2_s_ug,nordsalt b1 usb,106
20,106,w2,d,ug,B1,B1_w2_d_ug,nordsalt b1 usb,106
21,106,w2,f,ug,B1,B1_w2_f_ug,nordsalt b1 usb,106
22,102,w0,f,ug,B1,B1_w0_f_ug,nordsalt b1 usb,102
23,102,w0,s,ug,B1,B1_w0_s_ug,nordsalt b1 usb,102
24,102,w0,d,ug,B1,B1_w0_d_ug,nordsalt b1 usb,102
25,108,w3,s,ug,B1,B1_w3_s_ug,nordsalt b1 usb,108
26,108,w3,d,ug,B1,B1_w3_d_ug,nordsalt b1 usb,108
27,108,w3,f,ug,B1,B1_w3_f_ug,nordsalt b1 usb,108
28,110,w4,d,ug,B1,B1_w4_d_ug,nordsalt b1 usb,110
29,110,w4,f,ug,B1,B1_w4_f_ug,nordsalt b1 usb,110
30,110,w4,s,ug,B1,B1_w4_s_ug,nordsalt b1 usb,110
31,209,w4,s,g,B2,B2_w4_s_g,nordsalt b2 usb,31
32,209,w4,d,g,B2,B2_w4_d_g,nordsalt b2 usb,32
33,209,w4,f,g,B2,B2_w4_f_g,nordsalt b2 usb,33
34,203,w1,d,g,B2,B2_w1_d_g,nordsalt b2 usb,34
35,203,w1,s,g,B2,B2_w1_s_g,nordsalt b2 usb,35
36,203,w1,f,g,B2,B2_w1_f_g,nordsalt b2 usb,36
37,205,w2,f,g,B2,B2_w2_f_g,nordsalt b2 usb,37
38,205,w2,s,g,B2,B2_w2_s_g,nordsalt b2 usb,38
39,205,w2,d,g,B2,B2_w2_d_g,nordsalt b2 usb,39
40,201,w0,d,g,B2,B2_w0_d_g,nordsalt b2 usb,40
41,201,w0,s,g,B2,B2_w0_s_g,nordsalt b2 usb,41
42,201,w0,f,g,B2,B2_w0_f_g,nordsalt b2 usb,42
43,207,w3,d,g,B2,B2_w3_d_g,nordsalt b2 usb,43
44,207,w3,f,g,B2,B2_w3_f_g,nordsalt b2 usb,44
45,207,w3,s,g,B2,B2_w3_s_g,nordsalt b2 usb,45
46,210,w4,d,ug,B2,B2_w4_d_ug,nordsalt b2 usb,46
47,210,w4,f,ug,B2,B2_w4_f_ug,nordsalt b2 usb,47
48,210,w4,s,ug,B2,B2_w4_s_ug,nordsalt b2 usb,48
49,204,w1,d,ug,B2,B2_w1_d_ug,nordsalt b2 usb,49
50,204,w1,f,ug,B2,B2_w1_f_ug,nordsalt b2 usb,50
51,204,w1,s,ug,B2,B2_w1_s_ug,nordsalt b2 usb,51
52,206,w2,d,ug,B2,B2_w2_d_ug,nordsalt b2 usb,52
53,206,w2,f,ug,B2,B2_w2_f_ug,nordsalt b2 usb,53
54,206,w2,s,ug,B2,B2_w2_s_ug,nordsalt b2 usb,54
55,202,w0,f,ug,B2,B2_w0_f_ug,nordsalt b2 usb,55
56,202,w0,d,ug,B2,B2_w0_d_ug,nordsalt b2 usb,56
57,202,w0,s,ug,B2,B2_w0_s_ug,nordsalt b2 usb,57
58,208,w3,d,ug,B2,B2_w3_d_ug,nordsalt b2 usb,58
59,208,w3,s,ug,B2,B2_w3_s_ug,nordsalt b2 usb,59
60,208,w3,f,ug,B2,B2_w3_f_ug,nordsalt b2 usb,60
201,201,w0,,g,B2,B2_w0_g,nordsalt b2 usb,201
202,202,w0,,ug,B2,B2_w0_ug,nordsalt b2 usb,202
203,203,w1,,g,B2,B2_w1_g,nordsalt b2 usb,203
204,204,w1,,ug,B2,B2_w1_ug,nordsalt b2 usb,204
205,205,w2,,g,B2,B2_w2_g,nordsalt b2 usb,205
206,206,w2,,ug,B2,B2_w2_ug,nordsalt b2 usb,206
207,207,w3,,g,B2,B2_w3_g,nordsalt b2 usb,207
208,208,w3,,ug,B2,B2_w3_ug,nordsalt b2 usb,208
209,209,w4,,g,B2,B2_w4_g,nordsalt b2 usb,209
210,210,w4,,ug,B2,B2_w4_ug,nordsalt b2 usb,210
31,209,w4,s,g,B2,B2_w4_s_g,nordsalt b2 usb,B2
32,209,w4,d,g,B2,B2_w4_d_g,nordsalt b2 usb,B2
33,209,w4,f,g,B2,B2_w4_f_g,nordsalt b2 usb,B2
34,203,w1,d,g,B2,B2_w1_d_g,nordsalt b2 usb,B2
35,203,w1,s,g,B2,B2_w1_s_g,nordsalt b2 usb,B2
36,203,w1,f,g,B2,B2_w1_f_g,nordsalt b2 usb,B2
37,205,w2,f,g,B2,B2_w2_f_g,nordsalt b2 usb,B2
38,205,w2,s,g,B2,B2_w2_s_g,nordsalt b2 usb,B2
39,205,w2,d,g,B2,B2_w2_d_g,nordsalt b2 usb,B2
40,201,w0,d,g,B2,B2_w0_d_g,nordsalt b2 usb,B2
41,201,w0,s,g,B2,B2_w0_s_g,nordsalt b2 usb,B2
42,201,w0,f,g,B2,B2_w0_f_g,nordsalt b2 usb,B2
43,207,w3,d,g,B2,B2_w3_d_g,nordsalt b2 usb,B2
44,207,w3,f,g,B2,B2_w3_f_g,nordsalt b2 usb,B2
45,207,w3,s,g,B2,B2_w3_s_g,nordsalt b2 usb,B2
46,210,w4,d,ug,B2,B2_w4_d_ug,nordsalt b2 usb,B2
47,210,w4,f,ug,B2,B2_w4_f_ug,nordsalt b2 usb,B2
48,210,w4,s,ug,B2,B2_w4_s_ug,nordsalt b2 usb,B2
49,204,w1,d,ug,B2,B2_w1_d_ug,nordsalt b2 usb,B2
50,204,w1,f,ug,B2,B2_w1_f_ug,nordsalt b2 usb,B2
51,204,w1,s,ug,B2,B2_w1_s_ug,nordsalt b2 usb,B2
52,206,w2,d,ug,B2,B2_w2_d_ug,nordsalt b2 usb,B2
53,206,w2,f,ug,B2,B2_w2_f_ug,nordsalt b2 usb,B2
54,206,w2,s,ug,B2,B2_w2_s_ug,nordsalt b2 usb,B2
55,202,w0,f,ug,B2,B2_w0_f_ug,nordsalt b2 usb,B2
56,202,w0,d,ug,B2,B2_w0_d_ug,nordsalt b2 usb,B2
57,202,w0,s,ug,B2,B2_w0_s_ug,nordsalt b2 usb,B2
58,208,w3,d,ug,B2,B2_w3_d_ug,nordsalt b2 usb,B2
59,208,w3,s,ug,B2,B2_w3_s_ug,nordsalt b2 usb,B2
60,208,w3,f,ug,B2,B2_w3_f_ug,nordsalt b2 usb,B2
201,201,w0,,g,B2,B2_w0_g,nordsalt b2 usb,B2
202,202,w0,,ug,B2,B2_w0_ug,nordsalt b2 usb,B2
203,203,w1,,g,B2,B2_w1_g,nordsalt b2 usb,B2
204,204,w1,,ug,B2,B2_w1_ug,nordsalt b2 usb,B2
205,205,w2,,g,B2,B2_w2_g,nordsalt b2 usb,B2
206,206,w2,,ug,B2,B2_w2_ug,nordsalt b2 usb,B2
207,207,w3,,g,B2,B2_w3_g,nordsalt b2 usb,B2
208,208,w3,,ug,B2,B2_w3_ug,nordsalt b2 usb,B2
209,209,w4,,g,B2,B2_w4_g,nordsalt b2 usb,B2
210,210,w4,,ug,B2,B2_w4_ug,nordsalt b2 usb,B2
31,209,w4,s,g,B2,B2_w4_s_g,nordsalt b2 usb,209
32,209,w4,d,g,B2,B2_w4_d_g,nordsalt b2 usb,209
33,209,w4,f,g,B2,B2_w4_f_g,nordsalt b2 usb,209
34,203,w1,d,g,B2,B2_w1_d_g,nordsalt b2 usb,203
35,203,w1,s,g,B2,B2_w1_s_g,nordsalt b2 usb,203
36,203,w1,f,g,B2,B2_w1_f_g,nordsalt b2 usb,203
37,205,w2,f,g,B2,B2_w2_f_g,nordsalt b2 usb,205
38,205,w2,s,g,B2,B2_w2_s_g,nordsalt b2 usb,205
39,205,w2,d,g,B2,B2_w2_d_g,nordsalt b2 usb,205
40,201,w0,d,g,B2,B2_w0_d_g,nordsalt b2 usb,201
41,201,w0,s,g,B2,B2_w0_s_g,nordsalt b2 usb,201
42,201,w0,f,g,B2,B2_w0_f_g,nordsalt b2 usb,201
43,207,w3,d,g,B2,B2_w3_d_g,nordsalt b2 usb,207
44,207,w3,f,g,B2,B2_w3_f_g,nordsalt b2 usb,207
45,207,w3,s,g,B2,B2_w3_s_g,nordsalt b2 usb,207
46,210,w4,d,ug,B2,B2_w4_d_ug,nordsalt b2 usb,210
47,210,w4,f,ug,B2,B2_w4_f_ug,nordsalt b2 usb,210
48,210,w4,s,ug,B2,B2_w4_s_ug,nordsalt b2 usb,210
49,204,w1,d,ug,B2,B2_w1_d_ug,nordsalt b2 usb,204
50,204,w1,f,ug,B2,B2_w1_f_ug,nordsalt b2 usb,204
51,204,w1,s,ug,B2,B2_w1_s_ug,nordsalt b2 usb,204
52,206,w2,d,ug,B2,B2_w2_d_ug,nordsalt b2 usb,206
53,206,w2,f,ug,B2,B2_w2_f_ug,nordsalt b2 usb,206
54,206,w2,s,ug,B2,B2_w2_s_ug,nordsalt b2 usb,206
55,202,w0,f,ug,B2,B2_w0_f_ug,nordsalt b2 usb,202
56,202,w0,d,ug,B2,B2_w0_d_ug,nordsalt b2 usb,202
57,202,w0,s,ug,B2,B2_w0_s_ug,nordsalt b2 usb,202
58,208,w3,d,ug,B2,B2_w3_d_ug,nordsalt b2 usb,208
59,208,w3,s,ug,B2,B2_w3_s_ug,nordsalt b2 usb,208
60,208,w3,f,ug,B2,B2_w3_f_ug,nordsalt b2 usb,208
61,305,w2,s,g,B3,B3_w2_s_g,nordsalt b3 usb,61
62,305,w2,d,g,B3,B3_w2_d_g,nordsalt b3 usb,62
63,305,w2,f,g,B3,B3_w2_f_g,nordsalt b3 usb,63
64,307,w3,d,g,B3,B3_w3_d_g,nordsalt b3 usb,64
65,307,w3,s,g,B3,B3_w3_s_g,nordsalt b3 usb,65
66,307,w3,f,g,B3,B3_w3_f_g,nordsalt b3 usb,66
67,303,w1,f,g,B3,B3_w1_f_g,nordsalt b3 usb,67
68,303,w1,s,g,B3,B3_w1_s_g,nordsalt b3 usb,68
69,303,w1,d,g,B3,B3_w1_d_g,nordsalt b3 usb,69
70,309,w4,f,g,B3,B3_w4_f_g,nordsalt b3 usb,70
71,309,w4,d,g,B3,B3_w4_d_g,nordsalt b3 usb,71
72,309,w4,s,g,B3,B3_w4_s_g,nordsalt b3 usb,72
73,301,w0,s,g,B3,B3_w0_s_g,nordsalt b3 usb,73
74,301,w0,f,g,B3,B3_w0_f_g,nordsalt b3 usb,74
75,301,w0,d,g,B3,B3_w0_d_g,nordsalt b3 usb,75
76,306,w2,s,ug,B3,B3_w2_s_ug,nordsalt b3 usb,76
77,306,w2,d,ug,B3,B3_w2_d_ug,nordsalt b3 usb,77
78,306,w2,f,ug,B3,B3_w2_f_ug,nordsalt b3 usb,78
79,308,w3,d,ug,B3,B3_w3_d_ug,nordsalt b3 usb,79
80,308,w3,s,ug,B3,B3_w3_s_ug,nordsalt b3 usb,80
81,308,w3,f,ug,B3,B3_w3_f_ug,nordsalt b3 usb,81
82,304,w1,f,ug,B3,B3_w1_f_ug,nordsalt b3 usb,82
83,304,w1,s,ug,B3,B3_w1_s_ug,nordsalt b3 usb,83
84,304,w1,d,ug,B3,B3_w1_d_ug,nordsalt b3 usb,84
85,310,w4,s,ug,B3,B3_w4_s_ug,nordsalt b3 usb,85
86,310,w4,f,ug,B3,B3_w4_f_ug,nordsalt b3 usb,86
87,310,w4,d,ug,B3,B3_w4_d_ug,nordsalt b3 usb,87
88,302,w0,d,ug,B3,B3_w0_d_ug,nordsalt b3 usb,88
89,302,w0,f,ug,B3,B3_w0_f_ug,nordsalt b3 usb,89
90,302,w0,s,ug,B3,B3_w0_s_ug,nordsalt b3 usb,90
301,301,w0,,g,B3,B3_w0_g,nordsalt b3 usb,301
302,302,w0,,ug,B3,B3_w0_ug,nordsalt b3 usb,302
303,303,w1,,g,B3,B3_w1_g,nordsalt b3 usb,303
304,304,w1,,ug,B3,B3_w1_ug,nordsalt b3 usb,304
305,305,w2,,g,B3,B3_w2_g,nordsalt b3 usb,305
306,306,w2,,ug,B3,B3_w2_ug,nordsalt b3 usb,306
307,307,w3,,g,B3,B3_w3_g,nordsalt b3 usb,307
308,308,w3,,ug,B3,B3_w3_ug,nordsalt b3 usb,308
309,309,w4,,g,B3,B3_w4_g,nordsalt b3 usb,309
310,310,w4,,ug,B3,B3_w4_ug,nordsalt b3 usb,310
61,305,w2,s,g,B3,B3_w2_s_g,nordsalt b3 usb,B3
62,305,w2,d,g,B3,B3_w2_d_g,nordsalt b3 usb,B3
63,305,w2,f,g,B3,B3_w2_f_g,nordsalt b3 usb,B3
64,307,w3,d,g,B3,B3_w3_d_g,nordsalt b3 usb,B3
65,307,w3,s,g,B3,B3_w3_s_g,nordsalt b3 usb,B3
66,307,w3,f,g,B3,B3_w3_f_g,nordsalt b3 usb,B3
67,303,w1,f,g,B3,B3_w1_f_g,nordsalt b3 usb,B3
68,303,w1,s,g,B3,B3_w1_s_g,nordsalt b3 usb,B3
69,303,w1,d,g,B3,B3_w1_d_g,nordsalt b3 usb,B3
70,309,w4,f,g,B3,B3_w4_f_g,nordsalt b3 usb,B3
71,309,w4,d,g,B3,B3_w4_d_g,nordsalt b3 usb,B3
72,309,w4,s,g,B3,B3_w4_s_g,nordsalt b3 usb,B3
73,301,w0,s,g,B3,B3_w0_s_g,nordsalt b3 usb,B3
74,301,w0,f,g,B3,B3_w0_f_g,nordsalt b3 usb,B3
75,301,w0,d,g,B3,B3_w0_d_g,nordsalt b3 usb,B3
76,306,w2,s,ug,B3,B3_w2_s_ug,nordsalt b3 usb,B3
77,306,w2,d,ug,B3,B3_w2_d_ug,nordsalt b3 usb,B3
78,306,w2,f,ug,B3,B3_w2_f_ug,nordsalt b3 usb,B3
79,308,w3,d,ug,B3,B3_w3_d_ug,nordsalt b3 usb,B3
80,308,w3,s,ug,B3,B3_w3_s_ug,nordsalt b3 usb,B3
81,308,w3,f,ug,B3,B3_w3_f_ug,nordsalt b3 usb,B3
82,304,w1,f,ug,B3,B3_w1_f_ug,nordsalt b3 usb,B3
83,304,w1,s,ug,B3,B3_w1_s_ug,nordsalt b3 usb,B3
84,304,w1,d,ug,B3,B3_w1_d_ug,nordsalt b3 usb,B3
85,310,w4,s,ug,B3,B3_w4_s_ug,nordsalt b3 usb,B3
86,310,w4,f,ug,B3,B3_w4_f_ug,nordsalt b3 usb,B3
87,310,w4,d,ug,B3,B3_w4_d_ug,nordsalt b3 usb,B3
88,302,w0,d,ug,B3,B3_w0_d_ug,nordsalt b3 usb,B3
89,302,w0,f,ug,B3,B3_w0_f_ug,nordsalt b3 usb,B3
90,302,w0,s,ug,B3,B3_w0_s_ug,nordsalt b3 usb,B3
301,301,w0,,g,B3,B3_w0_g,nordsalt b3 usb,B3
302,302,w0,,ug,B3,B3_w0_ug,nordsalt b3 usb,B3
303,303,w1,,g,B3,B3_w1_g,nordsalt b3 usb,B3
304,304,w1,,ug,B3,B3_w1_ug,nordsalt b3 usb,B3
305,305,w2,,g,B3,B3_w2_g,nordsalt b3 usb,B3
306,306,w2,,ug,B3,B3_w2_ug,nordsalt b3 usb,B3
307,307,w3,,g,B3,B3_w3_g,nordsalt b3 usb,B3
308,308,w3,,ug,B3,B3_w3_ug,nordsalt b3 usb,B3
309,309,w4,,g,B3,B3_w4_g,nordsalt b3 usb,B3
310,310,w4,,ug,B3,B3_w4_ug,nordsalt b3 usb,B3
61,305,w2,s,g,B3,B3_w2_s_g,nordsalt b3 usb,305
62,305,w2,d,g,B3,B3_w2_d_g,nordsalt b3 usb,305
63,305,w2,f,g,B3,B3_w2_f_g,nordsalt b3 usb,305
64,307,w3,d,g,B3,B3_w3_d_g,nordsalt b3 usb,307
65,307,w3,s,g,B3,B3_w3_s_g,nordsalt b3 usb,307
66,307,w3,f,g,B3,B3_w3_f_g,nordsalt b3 usb,307
67,303,w1,f,g,B3,B3_w1_f_g,nordsalt b3 usb,303
68,303,w1,s,g,B3,B3_w1_s_g,nordsalt b3 usb,303
69,303,w1,d,g,B3,B3_w1_d_g,nordsalt b3 usb,303
70,309,w4,f,g,B3,B3_w4_f_g,nordsalt b3 usb,309
71,309,w4,d,g,B3,B3_w4_d_g,nordsalt b3 usb,309
72,309,w4,s,g,B3,B3_w4_s_g,nordsalt b3 usb,309
73,301,w0,s,g,B3,B3_w0_s_g,nordsalt b3 usb,301
74,301,w0,f,g,B3,B3_w0_f_g,nordsalt b3 usb,301
75,301,w0,d,g,B3,B3_w0_d_g,nordsalt b3 usb,301
76,306,w2,s,ug,B3,B3_w2_s_ug,nordsalt b3 usb,306
77,306,w2,d,ug,B3,B3_w2_d_ug,nordsalt b3 usb,306
78,306,w2,f,ug,B3,B3_w2_f_ug,nordsalt b3 usb,306
79,308,w3,d,ug,B3,B3_w3_d_ug,nordsalt b3 usb,308
80,308,w3,s,ug,B3,B3_w3_s_ug,nordsalt b3 usb,308
81,308,w3,f,ug,B3,B3_w3_f_ug,nordsalt b3 usb,308
82,304,w1,f,ug,B3,B3_w1_f_ug,nordsalt b3 usb,304
83,304,w1,s,ug,B3,B3_w1_s_ug,nordsalt b3 usb,304
84,304,w1,d,ug,B3,B3_w1_d_ug,nordsalt b3 usb,304
85,310,w4,s,ug,B3,B3_w4_s_ug,nordsalt b3 usb,310
86,310,w4,f,ug,B3,B3_w4_f_ug,nordsalt b3 usb,310
87,310,w4,d,ug,B3,B3_w4_d_ug,nordsalt b3 usb,310
88,302,w0,d,ug,B3,B3_w0_d_ug,nordsalt b3 usb,302
89,302,w0,f,ug,B3,B3_w0_f_ug,nordsalt b3 usb,302
90,302,w0,s,ug,B3,B3_w0_s_ug,nordsalt b3 usb,302
