plotid,chamber,treatment,origin,grazed_ungrazed,transect,transect_s_treatment,logger,link
76,306,w2,s,ug,B3,B3_w2_s_ug,nordsaltb3_3050,306
77,306,w2,d,ug,B3,B3_w2_d_ug,nordsaltb3_3050,306
78,306,w2,f,ug,B3,B3_w2_f_ug,nordsaltb3_3050,306
79,308,w3,d,ug,B3,B3_w3_d_ug,nordsaltb3_3050,308
80,308,w3,s,ug,B3,B3_w3_s_ug,nordsaltb3_3050,308
81,308,w3,f,ug,B3,B3_w3_f_ug,nordsaltb3_3050,308
82,304,w1,f,ug,B3,B3_w1_f_ug,nordsaltb3_3050,304
83,304,w1,s,ug,B3,B3_w1_s_ug,nordsaltb3_3050,304
84,304,w1,d,ug,B3,B3_w1_d_ug,nordsaltb3_3050,304
85,310,w4,s,ug,B3,B3_w4_s_ug,nordsaltb3_3050,310
86,310,w4,f,ug,B3,B3_w4_f_ug,nordsaltb3_3050,310
87,310,w4,d,ug,B3,B3_w4_d_ug,nordsaltb3_3050,310
88,302,w0,d,ug,B3,B3_w0_d_ug,nordsaltb3_3050,302
89,302,w0,f,ug,B3,B3_w0_f_ug,nordsaltb3_3050,302
90,302,w0,s,ug,B3,B3_w0_s_ug,nordsaltb3_3050,302
1,103,w1,d,g,B1,B1_w1_d_g,nordsalt b1 usb,1
2,103,w1,f,g,B1,B1_w1_f_g,nordsalt b1 usb,2
3,103,w1,s,g,B1,B1_w1_s_g,nordsalt b1 usb,3
4,105,w2,d,g,B1,B1_w2_d_g,nordsalt b1 usb,4
5,105,w2,s,g,B1,B1_w2_s_g,nordsalt b1 usb,5
6,105,w2,f,g,B1,B1_w2_f_g,nordsalt b1 usb,6
7,101,w0,d,g,B1,B1_w0_d_g,nordsalt b1 usb,7
8,101,w0,f,g,B1,B1_w0_f_g,nordsalt b1 usb,8
9,101,w0,s,g,B1,B1_w0_s_g,nordsalt b1 usb,9
10,107,w3,f,g,B1,B1_w3_f_g,nordsalt b1 usb,10
11,107,w3,s,g,B1,B1_w3_s_g,nordsalt b1 usb,11
12,107,w3,d,g,B1,B1_w3_d_g,nordsalt b1 usb,12
13,109,w4,s,g,B1,B1_w4_s_g,nordsalt b1 usb,13
14,109,w4,d,g,B1,B1_w4_d_g,nordsalt b1 usb,14
15,109,w4,f,g,B1,B1_w4_f_g,nordsalt b1 usb,15
16,104,w1,s,ug,B1,B1_w1_s_ug,nordsalt b1 usb,16
17,104,w1,f,ug,B1,B1_w1_f_ug,nordsalt b1 usb,17
18,104,w1,d,ug,B1,B1_w1_d_ug,nordsalt b1 usb,18
